Working,1,1440
Opening testing laptop,58,80
Type,90,133
took the pen,100,237
Fidgeting with pen,108,270
Picks up pen,109,134
Fidgets With Pen,118,161
Reading exam question,143,204
Pick pen,145,276
Writes on paper,165,535
wrote on a paper,248,558
Writes Something,275,538
Writing text in paper,287,539
Answering exam question,290,541
Writing on paper,290,539
Sets Pen Down,548,553
Picks Up Stapler,553,581
Uses stapler,560,655
Stapler the paper,565,623
Using stapler,570,621
used the stapler,578,610
Staples Papers,581,608
Stapling paper,593,604
Grabs Blue Pen,608,619
Writes On Paper,619,694
took the pen,632,718
Writing text in paper,634,697
Writes on paper,661,703
Writing on paper,662,699
Headphones On Neck,694,742
listen to music,702,1440
connecting headphones,704,837
Puts on headphones,709,761
Connecting listening device,725,834
plugged in laptop,728,902
Plugs In Headphones,742,828
Pick up headset,751,759
Finding headphone jack,758,828
Plugs in headphones,773,841
Connect headset to laptop,774,837
Types On Laptop,828,983
Typing,834,1012
Typing,841,991
Type in laptop,843,991
Types on laptop,850,979
started typing,924,1014
Putting headphones on,979,1024
Puts Headphones On,983,1019
Headphones on ears,993,1038
Touch headset,998,1027
Uses Laptop,1019,1379
put on headphone ,1021,1092
Typing,1022,1374
Typing on laptop,1024,1393
Typing in laptop,1037,1150
typing the laptop,1100,1434
Typing in laptop,1181,1238
Conversing with Monitor,1190,1401
Typing in laptop,1249,1313
Picking up pen,1418,1440
Writes on paper,1437,1449
removed the headphone,1445,1460
Removes headphones,1446,1460
Taking off headphones,1449,1457
